TG,B,D,lamda,lamda_D,gamma,gamma_D
49356.81,0.8132,0.45e-5,1.69,0.0,-0.028,0.0
50044.37,0.7993,0.42e-5,1.70,0.0,-0.026,0.0
50709.53,0.7860,0.58e-5,1.69,0.0,-0.029,0.0
51350.78,0.7705,0.52e-5,1.70,0.0,-0.026,0.0
51968.26,0.7527,0.14e-5,1.72,0.0,-0.024,0.0
52559.75,0.7377,0.58e-5,1.75,0.0,-0.022,0.0
53121.44,0.7187,0.50e-5,1.79,0.0,-0.021,0.0
53654.72,0.7010,0.86e-5,1.82,0.0,-0.021,0.0
54154.92,0.6770,0.67e-5,1.91,0.0,-0.023,0.0
54621.12,0.6514,0.63e-5,2.04,0.0,-0.021,-0.22e-4
55049.72,0.6263,0.99e-5,2.10,0.0,-0.041,0.0
55437.75,0.5956,0.94e-5,2.17,0.0,-0.038,0.0
55702.95,0.5626,1.37e-5,2.37,0.0,-0.054,-0.24e-4
56083.60,0.5242,1.63e-5,2.51,0.0,-0.084,-0.26e-4
56338.43,0.48319,2.084e-5,2.81,0.19e-3,-0.116,-0.39e-4
56548.26,0.4391,2.54e-5,3.30,0.31e-3,-0.164,-0.66e-4
56716.64,0.3934,3.08e-5,4.11,0.33e-3,-0.241,-0.81e-4
56848.65,0.3457,3.34e-5,5.18,0.0,-0.348,0.0
